customer_id,signup_date,customer_segment,city,age_group
CUST-00245,2025-07-26,VIP,Giza ,35-44
CUST-00246,17/02/2025,VIP,Zagazig,55+
CUST-00247,06/10/2023,Returning Customer,Tanta,25-34
CUST-00248,26/03/2025,Occasional Buyer,Zagazig,25-34
CUST-00249,29/10/2024,Occasional Buyer,Aswan,55+
CUST-00250,02-14-2024,Returning Customer,Port Said,55+
CUST-00251,02-25-2023,Returning Customer,Luxor,35-44
CUST-00252,05-22-2023,Occasional Buyer,Aswan,35-44
CUST-00253,05-10-2024,Returning Customer,Tanta,45-54
CUST-00254,06-01-2023,Occasional Buyer,Luxor,55+
CUST-00255,11-03-2025,New Customer,Aswan,35-44
CUST-00256,2023-06-24,VIP,Giza,55+
CUST-00257,04-01-2023,Occasional Buyer,Port Said,35-44
CUST-00258,2025-05-31,New Customer,Giza,55+
CUST-00259,11-28-2025,Returning Customer,Hurghada,45-54
CUST-00260,08-06-2025,Returning Customer,Port Said,18-24
CUST-00261,15/09/2025,Occasional Buyer,Giza,18-24
CUST-00262,26/08/2023,VIP,Alexandria,25-34
CUST-00263,03/12/2025,Occasional Buyer,Luxor ,35-44
CUST-00264,2023-05-18,New Customer,TANTA,18-24
CUST-00265,12-03-2023,Returning Customer,Mansoura,35-44
CUST-00266,2025-05-23,Occasional Buyer,Luxor,25-34
CUST-00267,2025-06-04,Returning Customer,Aswan,45-54
CUST-00268,03-07-2025,Returning Customer,Cairo,18-24
CUST-00269,2023-07-28,VIP,Hurghada,45-54
CUST-00270,08-22-2023,Occasional Buyer,Tanta,35-44
CUST-00271,06/03/2025,New Customer,Port Said,45-54
CUST-00272,12-20-2023,New Customer,Tanta,35-44
CUST-00273,30/08/2023,New Customer,Mansoura,25-34
CUST-00274,12/11/2025,Returning Customer,Aswan,45-54
CUST-00275,01-16-2024,Returning Customer,Luxor,45-54
CUST-00276,2024-08-14,VIP,Alexandria,55+
CUST-00277,2023-04-20,Occasional Buyer,Zagazig,45-54
CUST-00278,01/11/2025,Occasional Buyer,Luxor,45-54
CUST-00279,2025-09-27,New Customer,Alexandria,25-34
CUST-00280,21/08/2024,Returning Customer,Cairo,25-34
CUST-00281,07-25-2025,Occasional Buyer,Port Said,18-24
CUST-00282,08-22-2023,VIP,Tanta,18-24
CUST-00283,2025-06-22,Occasional Buyer,hurghada,35-44
CUST-00284,08/03/2023,VIP,Luxor,18-24
CUST-00285,2025-06-18,Returning Customer,Giza,55+
CUST-00286,12-19-2024,Occasional Buyer,Port Said,25-34
CUST-00287,2024-02-28,VIP,Mansoura,55+
CUST-00288,12-11-2023,VIP,Zagazig,35-44
CUST-00289,2025-11-19,Occasional Buyer,Giza,35-44
CUST-00290,2023-09-17,Returning Customer,Alexandria,25-34
CUST-00291,2025-03-15,VIP,Luxor,45-54
CUST-00292,07-14-2025,New Customer,Giza,35-44
CUST-00293,25/01/2025,VIP,Luxor,18-24
CUST-00294,2025-07-27,Occasional Buyer,Zagazig,45-54
CUST-00295,09/03/2024,VIP,Luxor,35-44
CUST-00296,25/09/2023,VIP,Port Said,18-24
CUST-00297,04-05-2023,Occasional Buyer,giza,45-54
CUST-00298,23/07/2025,Returning Customer,Cairo,25-34
CUST-00299,10/09/2024,New Customer,Alexandria,35-44
CUST-00300,06-18-2023,Returning Customer,ZAGAZIG,25-34
CUST-00301,05-29-2025,New Customer,Giza ,18-24
CUST-00302,2023-09-29,Occasional Buyer,PORT SAID,18-24
CUST-00303,14/05/2025,New Customer,Alexandria,18-24
CUST-00304,29/07/2023,VIP,Giza,25-34
CUST-00305,02-22-2025,Returning Customer, Alexandria,18-24
CUST-00306,03/12/2023,Returning Customer,Luxor,25-34
CUST-00307,04-23-2025,Occasional Buyer,Port Said,18-24
CUST-00308,2023-07-25,Occasional Buyer,Alexandria,45-54
CUST-00309,2024-10-06,VIP,Alexandria,25-34
CUST-00310,08-06-2024,VIP,Cairo,55+
CUST-00311,11-09-2025,Occasional Buyer,Mansoura,18-24
CUST-00312,05/05/2024,New Customer,Luxor,55+
CUST-00313,2023-05-26,VIP,Hurghada,25-34
CUST-00314,03/03/2025,VIP,Port Said,25-34
CUST-00315,2025-08-22,New Customer,giza,18-24
CUST-00316,05-04-2023,VIP,Aswan,55+
CUST-00317,04-30-2025,Occasional Buyer, Aswan,55+
CUST-00318,2023-11-09,VIP,tanta,25-34
CUST-00319,10-31-2024,New Customer,Aswan,45-54
CUST-00320,2024-05-03,New Customer,Cairo,18-24
CUST-00321,07-17-2025,New Customer,Port Said,25-34
CUST-00322,09-02-2023,Returning Customer,Cairo,25-34
CUST-00323,10-13-2025,VIP,Zagazig,25-34
CUST-00324,2024-07-04,VIP,Giza,35-44
CUST-00325,08/12/2025,New Customer,Giza,55+
CUST-00326,07/01/2025,Returning Customer,Cairo,35-44
CUST-00327,07-30-2023,New Customer,Port Said,55+
CUST-00328,2023-01-06,Returning Customer,CAIRO,45-54
CUST-00329,2023-11-04,Occasional Buyer,Alexandria,25-34
CUST-00330,02/05/2025,New Customer,Zagazig,18-24
CUST-00331,2025-10-25,Returning Customer,Cairo,18-24
CUST-00332,01/04/2025,VIP,Giza,35-44
CUST-00333,11-01-2024,Occasional Buyer,giza,35-44
CUST-00334,2024-09-14,Occasional Buyer,Port Said,45-54
CUST-00335,2024-02-05,Returning Customer,Hurghada ,18-24
CUST-00336,22/04/2024,New Customer,Hurghada,18-24
CUST-00337,2025-02-09,Returning Customer,Tanta,25-34
CUST-00338,2025-05-09,Returning Customer,Luxor,18-24
CUST-00339,03-31-2023,Occasional Buyer,Mansoura,35-44
CUST-00340,07-27-2025,New Customer,Giza,45-54
CUST-00341,06-03-2023,New Customer,Port Said,25-34
CUST-00342,29/04/2024,VIP,Tanta,45-54
CUST-00343,30/10/2024,VIP,Zagazig,25-34
CUST-00344,2023-10-06,Returning Customer,Port Said ,45-54
CUST-00345,2024-10-05,VIP,Aswan,25-34
CUST-00346,14/07/2025,VIP,Tanta,18-24
CUST-00347,11-19-2023,New Customer,Tanta,35-44
CUST-00348,10-31-2023,Returning Customer,Giza,45-54
CUST-00349,11-17-2025,VIP,Cairo,25-34
CUST-00350,05/03/2023,Returning Customer,Aswan,25-34
CUST-00351,2023-09-06,Returning Customer,Cairo,45-54
CUST-00352,02-01-2025,VIP,Giza,18-24
CUST-00353,2023-02-14,Occasional Buyer,Giza,18-24
CUST-00354,2024-11-10,Occasional Buyer, Giza,45-54
CUST-00355,2025-03-19,Occasional Buyer,Luxor,25-34
CUST-00356,2024-12-25,VIP,Mansoura,25-34
CUST-00357,03-12-2023,Returning Customer,Port Said,45-54
CUST-00358,23/04/2025,New Customer,Hurghada ,25-34
CUST-00359,05-08-2025,Returning Customer,Mansoura,55+
CUST-00360,02-09-2023,VIP,Aswan,45-54
CUST-00361,12-05-2024,VIP,Port Said,25-34
CUST-00362,02-23-2023,Returning Customer,ZAGAZIG,18-24
CUST-00363,24/08/2025,Returning Customer,Hurghada,18-24
CUST-00364,22/05/2024,New Customer,Mansoura,25-34
CUST-00365,2025-03-06,Returning Customer,Zagazig,35-44
CUST-00366,2025-01-04,VIP,Port Said,55+
CUST-00367,2023-10-19,Occasional Buyer,Port Said,25-34
CUST-00368,2025-10-01,New Customer,Cairo,25-34
CUST-00369,10/02/2023,New Customer,Hurghada,55+
CUST-00370,17/02/2024,Returning Customer,Alexandria,35-44
CUST-00371,2023-05-02,Returning Customer,Cairo,55+
CUST-00372,17/01/2025,Occasional Buyer,Giza,35-44
CUST-00373,2024-09-10,Returning Customer,Zagazig,45-54
CUST-00374,2025-09-24,VIP,Zagazig,55+
CUST-00375,26/12/2023,VIP,Aswan,18-24
CUST-00376,2025-03-12,Returning Customer,Port Said,55+
CUST-00377,2024-03-28,Occasional Buyer,Port Said,18-24
CUST-00378,02/05/2024,Returning Customer,Zagazig,18-24
CUST-00379,2024-11-18,VIP,Luxor,18-24
CUST-00380,2024-12-18,New Customer,Tanta ,45-54
CUST-00381,07/12/2023,Occasional Buyer,Aswan,45-54
CUST-00382,07-27-2023,Returning Customer,Luxor,18-24
CUST-00383,2023-03-10,VIP,Tanta,18-24
CUST-00384,2023-06-01,Occasional Buyer,Zagazig,18-24
CUST-00385,07-10-2023,Occasional Buyer,Zagazig,45-54
CUST-00386,04/12/2023,Returning Customer,PORT SAID,25-34
CUST-00387,01-25-2024,VIP,Aswan,35-44
CUST-00388,2024-05-01,Occasional Buyer,Giza,45-54
CUST-00389,11/11/2023,New Customer,Cairo,35-44
CUST-00390,2025-09-10,New Customer,Mansoura,35-44
CUST-00391,2023-06-17,VIP,Luxor,45-54
CUST-00392,2025-09-28,Occasional Buyer,Tanta,45-54
CUST-00393,26/01/2025,New Customer,Alexandria,45-54
CUST-00394,23/06/2024,New Customer,Mansoura,18-24
CUST-00395,06-25-2023,Occasional Buyer,Zagazig,55+
CUST-00396,2024-04-10,Occasional Buyer,Hurghada,45-54
CUST-00397,2025-08-30,Occasional Buyer,Port Said,45-54
CUST-00398,03-13-2023,Returning Customer,Hurghada,45-54
CUST-00399,2023-12-21,Returning Customer,Alexandria,45-54
CUST-00400,2023-06-10,Returning Customer,Aswan,35-44
CUST-00401,2024-10-16,Occasional Buyer,Giza,55+
CUST-00402,10-29-2024,Occasional Buyer,Tanta,18-24
CUST-00403,2025-12-06,Occasional Buyer,Aswan,55+
CUST-00404,07-25-2023,New Customer,Giza,55+
CUST-00405,05/12/2024,Occasional Buyer,Aswan,55+
CUST-00406,2025-08-26,VIP,Cairo,55+
CUST-00407,02/04/2025,VIP,Cairo,18-24
CUST-00408,31/08/2025,New Customer,Tanta,35-44
CUST-00409,28/09/2024,New Customer,Tanta,25-34
CUST-00410,10-03-2023,Occasional Buyer,Tanta,35-44
CUST-00411,07-05-2024,New Customer,Aswan,25-34
CUST-00412,04-13-2025,VIP,Luxor,55+
CUST-00413,22/11/2023,Occasional Buyer,Giza,55+
CUST-00414,2023-03-01,Returning Customer,Alexandria,25-34
CUST-00415,2023-03-09,VIP,Luxor,35-44
CUST-00416,01-24-2025,Occasional Buyer,Luxor,18-24
CUST-00417,04/03/2023,Occasional Buyer,Mansoura,25-34
CUST-00418,08-29-2025,VIP,Port Said,35-44
CUST-00419,2023-07-05,Occasional Buyer, Tanta,25-34
CUST-00420,03-29-2024,Returning Customer,Mansoura,45-54
CUST-00421,11-17-2025,New Customer,Cairo,25-34
CUST-00422,2023-12-21,Returning Customer,Port Said,35-44
CUST-00423,17/07/2024,VIP,Aswan,25-34
CUST-00424,08-13-2025,Occasional Buyer,Tanta,18-24
CUST-00425,11-13-2025,VIP,Zagazig,18-24
CUST-00426,13/09/2025,VIP,Giza,35-44
CUST-00427,2024-06-18,Returning Customer,Tanta,25-34
CUST-00428,27/04/2023,VIP,Port Said,18-24
CUST-00429,15/10/2025,Occasional Buyer,Tanta,18-24
CUST-00430,01-24-2024,Returning Customer,Zagazig,45-54
CUST-00431,04/01/2025,Returning Customer,Hurghada,55+
CUST-00432,2024-01-06,Occasional Buyer,Tanta,35-44
CUST-00433,01-10-2024,New Customer,Zagazig,25-34
CUST-00434,20/09/2024,VIP,Aswan,35-44
CUST-00435,07/08/2025,New Customer,Giza,55+
CUST-00436,2023-05-26,New Customer,Luxor,45-54
CUST-00437,21/12/2025,New Customer,Tanta,25-34
CUST-00438,09/10/2023,Occasional Buyer,Mansoura,45-54
CUST-00439,10-21-2023,Returning Customer,Zagazig,45-54
CUST-00440,12/11/2024,New Customer,ALEXANDRIA,25-34
CUST-00441,2023-12-12,Occasional Buyer,Port Said,18-24
CUST-00442,23/09/2023,Occasional Buyer,Port Said,45-54
CUST-00443,2025-02-24,Returning Customer,Cairo,18-24
CUST-00444,2024-10-21,New Customer,Hurghada,25-34
CUST-00445,08/04/2024,Returning Customer, Zagazig,55+
CUST-00446,2024-09-18,New Customer,Alexandria,35-44
CUST-00447,07-22-2025,VIP,Hurghada,25-34
CUST-00448,02/12/2024,Returning Customer,Luxor,45-54
CUST-00449,2023-02-09,Returning Customer,Mansoura,18-24
CUST-00450,2025-10-30,VIP,Alexandria,18-24
CUST-00451,02-07-2025,New Customer,Tanta,18-24
CUST-00452,2023-08-10,New Customer,Cairo,45-54
CUST-00453,11/09/2023,Occasional Buyer,Hurghada,25-34
CUST-00454,20/01/2023,New Customer,Tanta,35-44
CUST-00455,2023-10-08,New Customer,Aswan,18-24
CUST-00456,10-16-2025,Returning Customer,Mansoura,55+
CUST-00457,02-18-2024,Occasional Buyer,Zagazig,18-24
CUST-00458,10-13-2025,Occasional Buyer,Mansoura,18-24
CUST-00459,2023-01-27,Occasional Buyer,Giza,18-24
CUST-00460,11-13-2025,New Customer,Giza,25-34
CUST-00461,24/07/2025,Occasional Buyer,tanta,18-24
CUST-00462,08-18-2024,VIP,Zagazig,18-24
CUST-00463,2023-07-14,Returning Customer,Cairo,25-34
CUST-00464,04/11/2024,VIP,Zagazig,18-24
CUST-00465,2025-02-02,New Customer,Zagazig,45-54
CUST-00466,07-10-2024,Occasional Buyer,Aswan,25-34
CUST-00467,08-20-2023,New Customer,Alexandria,25-34
CUST-00468,08-01-2023,Occasional Buyer,Aswan,45-54
CUST-00469,07/01/2024,VIP,Port Said,25-34
CUST-00470,2025-09-16,Occasional Buyer,Luxor,18-24
CUST-00471,2024-06-19,Returning Customer,Zagazig,35-44
CUST-00472,11-29-2025,New Customer,Hurghada,25-34
CUST-00473,09-13-2025,Occasional Buyer,Zagazig,55+
