date,channel,campaign_name,spend,clicks,impressions,conversions,attributed_revenue
14/02/2025,TikTok Ads,Summer Deals - TikTok Ads,2222.73,2358,19231,141,17965.47
14/02/2025,Affiliate,New Customer Acquisition - Affiliate,1933.41,1732,50574,57,4680.67
02-15-2025,Google Ads,Summer Deals - Google Ads,515.58,4950,78369,504,39538.08
02-15-2025,Email,Back to School - Email,307.13,5451,15528,171,16881.38
02-15-2025,TikTok Ads,VIP Retargeting - TikTok Ads,887.06,3515,43885,0,0.0
15/02/2025,Affiliate,Flash Promo - Affiliate,1027.39,3413,81538,212,20150.54
02-16-2025,Google Ads,Winter Sale - Google Ads,673.86,3857,62053,419,26609.49
02-16-2025,Meta Ads,Back to School - Meta Ads,412.36,526,79270,37,5564.73
16/02/2025,TikTok Ads,Winter Sale - TikTok Ads,743.57,3132,5752,72,8767.35
02-16-2025,Affiliate,Summer Deals - Affiliate,2220.36,2406,12626,128,10346.92
02-17-2025,Google Ads,New Customer Acquisition - Google Ads,1676.96,5470,88702,4,715.6
17/02/2025,Meta Ads,Flash Promo - Meta Ads,1074.44,577,19423,47,5548.25
2025-02-17,Email,VIP Retargeting - Email,628.64,246,59386,17,1805.13
17/02/2025,Affiliate,New Customer Acquisition - Affiliate,135.67,5048,85661,342,54229.02
02-18-2025,Google Ads,New Customer Acquisition - Google Ads,1797.75,4439,10662,467,51217.32
2025-02-18,Affiliate,Winter Sale - Affiliate,1427.88,3530,33097,103,14269.08
2025-02-19,Google Ads,VIP Retargeting - Google Ads,1065.25,4385,48055,196,19056.04
19/02/2025,Meta Ads,Flash Promo - Meta Ads,1500.7,2089,12955,63,3405.19
2025-02-19,Email,Summer Deals - Email,1549.93,4458,16221,198,30011.04
19/02/2025,TikTok Ads,Holiday Campaign - TikTok Ads,1743.99,3658,45230,242,13657.11
2025-02-20,Google Ads,Flash Promo - Google Ads,1330.36,4311,25944,451,18812.52
20/02/2025,Meta Ads,Flash Promo - Meta Ads,2108.77,856,21805,91,10171.34
02-20-2025,Email,Holiday Campaign - Email,1908.51,5414,43487,378,15326.81
20/02/2025,TikTok Ads,Flash Promo - TikTok Ads,1610.43,1674,51953,81,5674.29
02-21-2025,Google Ads,Back to School - Google Ads,1638.65,344,7115,21,3118.63
2025-02-21,Meta Ads,Summer Deals - Meta Ads,1026.0,3312,48279,354,37694.33
02-21-2025,Email,Winter Sale - Email,127.16,704,70379,59,5743.62
21/02/2025,Affiliate,Flash Promo - Affiliate,1411.79,4295,80102,54,8742.7
02-22-2025,Google Ads,VIP Retargeting - Google Ads,193.03,2602,73792,279,41530.92
2025-02-22,Meta Ads,Flash Promo - Meta Ads,2164.02,897,74883,2,127.97
2025-02-22,Email,VIP Retargeting - Email,896.21,4827,19252,341,50023.77
22/02/2025,TikTok Ads,VIP Retargeting - TikTok Ads,1998.64,4567,52825,405,60651.7
2025-02-22,Affiliate,Summer Deals - Affiliate,550.89,2092,17877,81,4505.96
2025-02-23,Meta Ads,Back to School - Meta Ads,2499.93,5902,45692,633,80563.14
2025-02-23,Email,VIP Retargeting - Email,1292.36,356,39786,20,1326.06
23/02/2025,TikTok Ads,Flash Promo - TikTok Ads,951.67,681,69168,35,5391.59
2025-02-23,Affiliate,Holiday Campaign - Affiliate,2022.98,3138,32484,76,5923.3
24/02/2025,Google Ads,VIP Retargeting - Google Ads,1579.64,3727,18244,319,32320.39
02-24-2025,Email,Holiday Campaign - Email,2098.42,299,68710,16,963.77
02-24-2025,TikTok Ads,Winter Sale - TikTok Ads,1269.35,4914,62202,302,42685.55
24/02/2025,Affiliate,Flash Promo - Affiliate,2185.92,1139,67695,126,16005.31
25/02/2025,Google Ads,VIP Retargeting - Google Ads,681.03,2320,33578,240,24156.9
02-25-2025,Email,VIP Retargeting - Email,506.27,1589,41949,120,12526.08
02-25-2025,TikTok Ads,VIP Retargeting - TikTok Ads,979.6,3705,20106,434,22586.55
2025-02-25,Affiliate,VIP Retargeting - Affiliate,301.08,2511,81279,165,13862.11
26/02/2025,Email,Back to School - Email,1705.79,3011,39789,87,14858.48
02-26-2025,TikTok Ads,Summer Deals - TikTok Ads,938.74,5057,32515,342,27315.6
02-26-2025,Affiliate,Holiday Campaign - Affiliate,447.87,5502,78908,340,37352.84
02-27-2025,Email,Holiday Campaign - Email,498.6,1437,77572,140,14557.49
2025-02-27,TikTok Ads,Winter Sale - TikTok Ads,1285.84,662,7215,54,7853.9
27/02/2025,Affiliate,Winter Sale - Affiliate,1814.24,1786,62861,33,5789.3
28/02/2025,Google Ads,Summer Deals - Google Ads,1223.01,5200,42452,286,14238.23
28/02/2025,Affiliate,Summer Deals - Affiliate,854.51,1819,5482,197,9855.82
2025-03-01,Google Ads,Flash Promo - Google Ads,108.47,1910,83051,151,22672.47
2025-03-01,Meta Ads,Winter Sale - Meta Ads,1761.17,2220,40209,64,9266.02
01/03/2025,Email,Back to School - Email,1212.66,1729,52309,10,1387.45
03-01-2025,TikTok Ads,Back to School - TikTok Ads,567.42,1357,59317,117,19703.58
02/03/2025,Google Ads,Back to School - Google Ads,1552.02,1197,86994,55,9117.51
02/03/2025,Meta Ads,Winter Sale - Meta Ads,1163.87,4145,31306,146,19478.14
02/03/2025,TikTok Ads,Back to School - TikTok Ads,1976.58,5748,79930,175,18359.36
03-03-2025,Google Ads,Back to School - Google Ads,1755.3,924,63756,51,4543.21
03/03/2025,Meta Ads,Flash Promo - Meta Ads,1394.74,1889,45354,86,5072.78
2025-03-03,Email,Flash Promo - Email,2213.4,195,28726,7,1065.52
03/03/2025,TikTok Ads,Back to School - TikTok Ads,1377.88,1922,43266,55,8224.74
03/03/2025,Affiliate,Holiday Campaign - Affiliate,1301.34,545,40491,56,7924.6
2025-03-04,Google Ads,Winter Sale - Google Ads,789.57,4453,84123,279,45769.15
03-04-2025,Meta Ads,Summer Deals - Meta Ads,293.44,1623,68592,103,6782.35
03-04-2025,Email,VIP Retargeting - Email,953.3,2635,40579,248,41184.35
04/03/2025,Affiliate,Summer Deals - Affiliate,2031.62,1648,10526,141,21072.6
05/03/2025,Google Ads,Back to School - Google Ads,2062.95,1543,85533,137,19216.84
03-05-2025,Meta Ads,Flash Promo - Meta Ads,922.31,2871,24079,323,28936.34
2025-03-05,Email,Winter Sale - Email,2219.22,3027,3925,344,56638.27
05/03/2025,TikTok Ads,Summer Deals - TikTok Ads,2333.86,319,86937,26,1761.25
03-06-2025,Google Ads,Summer Deals - Google Ads,1897.64,1880,67581,0,0.0
03-06-2025,TikTok Ads,Summer Deals - TikTok Ads,1934.64,1912,33233,85,11040.57
2025-03-06,Affiliate,Flash Promo - Affiliate,2433.71,5365,12419,575,69788.25
03-07-2025,Google Ads,Holiday Campaign - Google Ads,1879.28,4212,21330,422,74792.13
2025-03-07,Meta Ads,Summer Deals - Meta Ads,2349.81,5514,6441,577,73605.8
03-07-2025,Affiliate,Flash Promo - Affiliate,1478.33,3286,46208,188,10003.41
03-08-2025,Meta Ads,Summer Deals - Meta Ads,2368.05,4445,25065,303,22528.29
08/03/2025,Email,VIP Retargeting - Email,1581.65,5520,25982,334,58448.65
03-08-2025,TikTok Ads,Back to School - TikTok Ads,1574.2,1174,25705,62,10248.24
08/03/2025,Affiliate,Back to School - Affiliate,1366.69,1637,85837,0,0.0
03-09-2025,Google Ads,New Customer Acquisition - Google Ads,2145.19,3177,80136,52,6923.31
09/03/2025,Meta Ads,VIP Retargeting - Meta Ads,257.09,5258,31924,497,50845.66
03-09-2025,Email,Winter Sale - Email,781.87,5252,10332,97,7615.34
09/03/2025,TikTok Ads,Back to School - TikTok Ads,522.38,5501,38032,387,37413.31
03-09-2025,Affiliate,Back to School - Affiliate,826.52,2489,59362,68,4306.25
2025-03-10,Meta Ads,Winter Sale - Meta Ads,1429.49,878,25897,78,4383.7
03-10-2025,Email,Winter Sale - Email,2407.97,333,31845,29,1183.97
03-11-2025,Affiliate,Summer Deals - Affiliate,778.97,1303,63102,95,10600.69
12/03/2025,Google Ads,VIP Retargeting - Google Ads,2192.38,4132,9946,2,354.8
2025-03-12,Meta Ads,VIP Retargeting - Meta Ads,1702.52,4968,12835,552,74704.13
2025-03-12,Email,Back to School - Email,1961.84,4790,42081,213,13626.7
03-12-2025,Affiliate,VIP Retargeting - Affiliate,2448.86,4839,10221,546,24839.96
03-13-2025,Google Ads,VIP Retargeting - Google Ads,836.65,2747,11380,190,10953.98
2025-03-13,Meta Ads,Holiday Campaign - Meta Ads,1233.91,4196,38493,57,4076.09
03-13-2025,TikTok Ads,Flash Promo - TikTok Ads,1908.37,2369,83671,160,14942.53
13/03/2025,Affiliate,VIP Retargeting - Affiliate,1383.77,5834,11821,195,11130.99
2025-03-14,Google Ads,Back to School - Google Ads,1268.26,2114,14351,143,23041.19
14/03/2025,TikTok Ads,New Customer Acquisition - TikTok Ads,507.36,4255,57010,301,20715.59
03-14-2025,Affiliate,VIP Retargeting - Affiliate,825.88,3717,29946,26,4604.82
03-15-2025,Google Ads,Winter Sale - Google Ads,2106.05,4772,47417,99,17292.14
03-15-2025,Email,VIP Retargeting - Email,1156.11,2973,13823,17,2939.12
15/03/2025,Affiliate,Back to School - Affiliate,1541.58,5401,21300,583,36375.33
2025-03-16,Google Ads,Flash Promo - Google Ads,569.23,3373,24311,347,36111.46
03-16-2025,Email,Summer Deals - Email,1677.58,2847,20270,280,32281.95
2025-03-17,Google Ads,Summer Deals - Google Ads,1097.16,5102,45606,248,38095.5
2025-03-17,Meta Ads,Flash Promo - Meta Ads,479.16,2095,12136,129,8174.26
2025-03-17,Email,Summer Deals - Email,779.75,3679,57426,214,23223.51
2025-03-18,Google Ads,VIP Retargeting - Google Ads,1914.89,1279,78151,86,5914.87
18/03/2025,Email,New Customer Acquisition - Email,2292.28,2090,41888,230,33466.37
2025-03-18,TikTok Ads,Holiday Campaign - TikTok Ads,1059.97,2500,51811,0,0.0
19/03/2025,Google Ads,Winter Sale - Google Ads,2329.83,1185,60711,53,4940.19
19/03/2025,Email,Holiday Campaign - Email,230.46,2292,49676,59,7348.53
19/03/2025,TikTok Ads,VIP Retargeting - TikTok Ads,353.46,4317,13235,431,24704.62
03-19-2025,Affiliate,Winter Sale - Affiliate,2214.59,2007,11923,145,12023.57
03-20-2025,Email,Summer Deals - Email,1496.99,1993,59544,62,10445.02
2025-03-20,TikTok Ads,Back to School - TikTok Ads,814.92,2092,75263,98,4691.92
20/03/2025,Affiliate,Back to School - Affiliate,2320.38,429,25335,29,3995.94
03-21-2025,Google Ads,Flash Promo - Google Ads,1702.08,2363,83630,2,237.91
2025-03-21,Meta Ads,Back to School - Meta Ads,1763.58,4970,59924,224,24197.88
03-21-2025,Email,VIP Retargeting - Email,1295.13,925,78381,20,1916.9
2025-03-21,TikTok Ads,Flash Promo - TikTok Ads,2407.59,2910,65892,94,9919.28
03-21-2025,Affiliate,Winter Sale - Affiliate,611.36,2535,10883,68,11709.42
2025-03-22,Google Ads,Back to School - Google Ads,2059.33,1465,50666,175,10670.85
2025-03-22,Email,Back to School - Email,2442.83,3757,71002,31,2166.45
2025-03-22,TikTok Ads,Winter Sale - TikTok Ads,1518.09,2637,16122,154,26997.16
2025-03-22,Affiliate,Back to School - Affiliate,315.95,5694,14410,616,43040.86
23/03/2025,Meta Ads,New Customer Acquisition - Meta Ads,1890.44,3201,67379,234,33198.79
03-23-2025,TikTok Ads,Back to School - TikTok Ads,1414.64,4497,29066,133,19760.28
23/03/2025,Affiliate,Holiday Campaign - Affiliate,767.27,3706,78088,159,16082.88
24/03/2025,Google Ads,Summer Deals - Google Ads,1999.76,4818,45108,131,6329.38
24/03/2025,Affiliate,Winter Sale - Affiliate,1071.64,4863,84320,0,0.0
03-25-2025,Google Ads,Winter Sale - Google Ads,349.44,3998,89527,44,5521.74
2025-03-25,Meta Ads,Flash Promo - Meta Ads,1579.09,544,59164,1,43.23
25/03/2025,Email,Back to School - Email,2058.67,1970,18894,0,0.0
03-25-2025,TikTok Ads,Flash Promo - TikTok Ads,1378.89,4098,35462,351,61438.16
2025-03-25,Affiliate,Back to School - Affiliate,2029.44,5164,83927,121,16629.67
03-26-2025,Meta Ads,Flash Promo - Meta Ads,1498.14,4261,72176,138,24477.26
26/03/2025,Email,Summer Deals - Email,1781.05,3566,5094,0,0.0
26/03/2025,TikTok Ads,Holiday Campaign - TikTok Ads,1866.21,1784,77038,30,1898.02
27/03/2025,Google Ads,Summer Deals - Google Ads,1244.54,2131,48176,66,9852.16
27/03/2025,Meta Ads,New Customer Acquisition - Meta Ads,1721.97,3533,31219,36,1994.25
27/03/2025,TikTok Ads,VIP Retargeting - TikTok Ads,951.81,357,32885,0,0.0
27/03/2025,Affiliate,Flash Promo - Affiliate,1931.07,4451,48259,231,36701.14
2025-03-28,Google Ads,VIP Retargeting - Google Ads,1227.4,5717,74342,298,16411.88
03-28-2025,Meta Ads,Holiday Campaign - Meta Ads,201.05,3331,63769,255,12171.7
28/03/2025,Email,VIP Retargeting - Email,2327.7,5804,21833,428,17672.45
03-28-2025,Affiliate,Holiday Campaign - Affiliate,838.76,5391,17365,494,32592.69
29/03/2025,Meta Ads,Summer Deals - Meta Ads,1758.15,5375,5787,149,16804.84
29/03/2025,Email,Summer Deals - Email,2417.41,1897,85006,0,0.0
03-29-2025,TikTok Ads,Back to School - TikTok Ads,1082.85,2137,43537,136,6162.33
29/03/2025,Affiliate,New Customer Acquisition - Affiliate,1945.38,2887,46988,69,3843.74
