return_id,order_id,product_id,return_date,return_reason,refunded_amount
RET-000032,ORD-009834,PROD-0166,11-24-2025,Product not as described,391.45
RET-000033,ORD-014344,PROD-0100,25/06/2025,Late delivery,468.22
RET-000034,ORD-012536,PROD-0027,01-08-2026,Defective product,120.06
RET-000035,ORD-022980,PROD-0020,06/08/2025,Product not as described,324.85
RET-000036,ORD-023440,PROD-0069,2025-08-23,Damaged item,139.51
RET-000037,ORD-014049,PROD-0077,08-09-2025,Changed mind,8.72
RET-000038,ORD-014079,PROD-0147,11-21-2025,Product not as described,182.83
RET-000039,ORD-000418,PROD-0106,05-15-2025,Wrong size,990.65
RET-000040,ORD-006576,PROD-0058,2025-04-16,Changed mind,376.46
RET-000041,ORD-012551,PROD-0085,10-30-2025,Wrong size,263.6
RET-000042,ORD-019799,PROD-0120,15/03/2025,Late delivery,89.62
RET-000043,ORD-005520,PROD-0061,09-06-2025,Defective product,634.34
RET-000044,ORD-016557,PROD-0048,09-20-2025,Changed mind,623.43
RET-000045,ORD-022177,PROD-0002,2025-10-03,Changed mind,95.26
RET-000046,ORD-012826,PROD-0047,02/05/2025,Late delivery,41.14
RET-000047,ORD-013704,PROD-0106,24/11/2025,Defective product,588.54
RET-000048,ORD-023477,PROD-0104,06-28-2025,Wrong size,369.45
RET-000049,ORD-015106,PROD-0097,2025-10-09,Wrong size,199.19
RET-000050,ORD-001173,PROD-0106,02-25-2025,Damaged item,239.77
RET-000051,ORD-015287,PROD-0072,04-28-2025,Defective product,373.96
RET-000052,ORD-003041,PROD-0060,06-18-2025,Product not as described,254.13
RET-000053,ORD-017970,PROD-0091,01-16-2026,Damaged item,385.79
RET-000054,ORD-004421,PROD-0039,2025-01-16,Wrong size,396.75
RET-000055,ORD-013032,PROD-0107,16/02/2025,Late delivery,142.35
RET-000056,ORD-014583,PROD-0014,01/07/2025,Changed mind,2202.36
RET-000057,ORD-002390,PROD-0104,2026-01-23,Damaged item,198.0
RET-000058,ORD-016069,PROD-0008,02-14-2025,Product not as described,854.15
RET-000059,ORD-007679,PROD-0010,02/01/2026,Damaged item,478.43
RET-000060,ORD-021410,PROD-0101,07-11-2025,Defective product,345.85
RET-000061,ORD-012872,PROD-0086,07-24-2025,Changed mind,483.77
RET-000062,ORD-006999,PROD-0029,17/10/2025,Late delivery,212.7
RET-000063,ORD-014671,PROD-0051,2025-07-18,Defective product,97.77
RET-000064,ORD-022392,PROD-0114,12-02-2025,Damaged item,398.36
RET-000065,ORD-014788,PROD-0068,2025-01-30,Wrong size,41.62
RET-000066,ORD-006812,PROD-0108,12-25-2025,Late delivery,345.13
RET-000067,ORD-018342,PROD-0140,2025-01-24,Product not as described,77.41
RET-000068,ORD-001467,PROD-0161,09-29-2025,Late delivery,157.82
RET-000069,ORD-013788,PROD-0070,10/06/2025,Late delivery,923.8
RET-000070,ORD-018456,PROD-0087,11/09/2025,Wrong size,320.61
RET-000071,ORD-017977,PROD-0092,12-14-2025,Defective product,306.55
RET-000072,ORD-004369,PROD-0171,14/04/2025,Late delivery,1706.1
RET-000073,ORD-009453,PROD-0071,03/10/2025,Damaged item,738.75
RET-000074,ORD-006244,PROD-0005,11-20-2025,Damaged item,389.69
RET-000075,ORD-011114,PROD-0134,2025-11-23,Changed mind,20.85
RET-000076,ORD-020829,PROD-0133,02/02/2025,Changed mind,421.85
RET-000077,ORD-008805,PROD-0063,2025-08-24,Defective product,298.6
RET-000078,ORD-002321,PROD-0046,2025-05-02,Wrong size,184.1
RET-000079,ORD-016576,PROD-0053,14/10/2025,Product not as described,11.71
RET-000080,ORD-009170,PROD-0164,15/01/2026,Defective product,172.87
RET-000081,ORD-011380,PROD-0076,13/11/2025,Late delivery,715.18
RET-000082,ORD-023121,PROD-0137,21/12/2025,Wrong size,425.12
RET-000083,ORD-016541,PROD-0096,2025-03-06,Product not as described,171.63
RET-000084,ORD-023188,PROD-0050,11-28-2025,Late delivery,138.23
RET-000085,ORD-006702,PROD-0087,03-28-2025,Damaged item,60.54
RET-000086,ORD-008433,PROD-0121,2025-07-27,Wrong size,585.53
RET-000087,ORD-023201,PROD-0111,08-13-2025,Product not as described,225.32
RET-000088,ORD-002074,PROD-0112,07/09/2025,Product not as described,179.68
RET-000089,ORD-005723,PROD-0165,09-26-2025,Damaged item,42.59
RET-000090,ORD-012454,PROD-0050,09/04/2025,Product not as described,212.91
RET-000091,ORD-008051,PROD-0034,22/07/2025,Defective product,794.65
RET-000092,ORD-016048,PROD-0051,25/06/2025,Wrong size,411.0
RET-000093,ORD-006850,PROD-0163,12-17-2025,Defective product,608.55
RET-000094,ORD-007394,PROD-0133,2025-02-16,Damaged item,535.09
RET-000095,ORD-002830,PROD-0180,10-20-2025,Defective product,275.32
RET-000096,ORD-009863,PROD-0103,03-08-2025,Changed mind,196.43
RET-000097,ORD-004827,PROD-0144,2025-02-11,Defective product,84.07
RET-000098,ORD-008659,PROD-0054,30/01/2025,Wrong size,973.95
RET-000099,ORD-001305,PROD-0145,2025-04-18,Defective product,28.98
RET-000100,ORD-000413,PROD-0002,06-26-2025,Product not as described,31.98
RET-000101,ORD-006578,PROD-0127,2025-08-24,Damaged item,232.84
RET-000102,ORD-001736,PROD-0111,2025-05-30,Defective product,79.59
RET-000103,ORD-013600,PROD-0040,19/03/2025,Wrong size,161.71
RET-000104,ORD-006386,PROD-0116,2025-04-17,Changed mind,671.11
RET-000105,ORD-013071,PROD-0029,2025-07-19,Late delivery,407.36
RET-000106,ORD-022041,PROD-0026,2025-03-12,Wrong size,610.72
RET-000107,ORD-004846,PROD-0149,05-30-2025,Defective product,86.5
RET-000108,ORD-012574,PROD-0147,2025-06-13,Damaged item,55.35
RET-000109,ORD-013093,PROD-0112,2025-06-20,Defective product,549.65
RET-000110,ORD-016943,PROD-0180,23/12/2025,Defective product,1185.03
RET-000111,ORD-024306,PROD-0007,08-28-2025,Product not as described,365.9
RET-000112,ORD-021914,PROD-0020,12-22-2025,Wrong size,812.6
RET-000113,ORD-006506,PROD-0038,2026-01-02,Late delivery,344.94
RET-000114,ORD-009214,PROD-0117,2025-11-17,Late delivery,803.18
RET-000115,ORD-002255,PROD-0162,12-16-2025,Late delivery,169.53
RET-000116,ORD-023467,PROD-0085,2025-08-25,Late delivery,365.76
RET-000117,ORD-000253,PROD-0002,06-26-2025,Product not as described,62.93
RET-000118,ORD-008908,PROD-0112,2025-07-21,Damaged item,167.21
RET-000119,ORD-007125,PROD-0045,2025-05-17,Damaged item,346.67
RET-000120,ORD-022370,PROD-0179,02/05/2025,Product not as described,148.01
RET-000121,ORD-007511,PROD-0052,30/05/2025,Product not as described,81.1
RET-000122,ORD-019954,PROD-0134,2025-01-17,Changed mind,18.37
RET-000123,ORD-004857,PROD-0115,2025-03-21,Defective product,638.37
RET-000124,ORD-016056,PROD-0009,07/01/2026,Defective product,26.58
RET-000125,ORD-012509,PROD-0066,2025-07-27,Late delivery,1231.2
RET-000126,ORD-018318,PROD-0106,03-20-2025,Damaged item,629.57
RET-000127,ORD-010729,PROD-0154,09/07/2025,Late delivery,622.7
RET-000128,ORD-014703,PROD-0056,13/06/2025,Product not as described,406.24
RET-000129,ORD-022616,PROD-0129,07-10-2025,Damaged item,1854.1
RET-000130,ORD-022194,PROD-0109,11-10-2025,Damaged item,390.68
RET-000131,ORD-021971,PROD-0049,10/07/2025,Wrong size,298.35
RET-000132,ORD-009804,PROD-0124,2025-03-07,Wrong size,495.39
RET-000133,ORD-000388,PROD-0093,10-23-2025,Damaged item,735.17
RET-000134,ORD-015525,PROD-0104,08-03-2025,Late delivery,427.38
RET-000135,ORD-005805,PROD-0033,06/05/2025,Damaged item,9.39
RET-000136,ORD-022793,PROD-0031,29/08/2025,Late delivery,110.35
RET-000137,ORD-022520,PROD-0100,03-01-2025,Late delivery,1831.07
RET-000138,ORD-007575,PROD-0112,2025-12-16,Late delivery,298.7
RET-000139,ORD-013199,PROD-0091,2025-07-09,Damaged item,638.82
RET-000140,ORD-004692,PROD-0178,2025-11-23,Late delivery,460.84
RET-000141,ORD-020020,PROD-0074,2025-03-06,Product not as described,61.04
RET-000142,ORD-004221,PROD-0154,02-01-2026,Damaged item,1797.12
RET-000143,ORD-018023,PROD-0093,2025-03-26,Changed mind,791.74
RET-000144,ORD-005062,PROD-0045,14/10/2025,Late delivery,541.38
RET-000145,ORD-016097,PROD-0120,2025-01-27,Product not as described,215.05
RET-000146,ORD-021296,PROD-0068,2025-09-30,Defective product,30.37
RET-000147,ORD-021504,PROD-0086,05-16-2025,Wrong size,1335.46
RET-000148,ORD-018856,PROD-0039,18/04/2025,Product not as described,936.06
RET-000149,ORD-009381,PROD-0141,2026-01-05,Wrong size,253.7
RET-000150,ORD-019250,PROD-0041,16/08/2025,Damaged item,547.86
RET-000151,ORD-014946,PROD-0071,08-10-2025,Damaged item,327.07
RET-000152,ORD-021758,PROD-0122,07-16-2025,Product not as described,890.3
RET-000153,ORD-020553,PROD-0070,04/03/2025,Late delivery,2594.31
RET-000154,ORD-001442,PROD-0104,11-17-2025,Late delivery,242.5
RET-000155,ORD-020613,PROD-0057,2025-09-23,Defective product,1097.71
RET-000156,ORD-012443,PROD-0018,05/02/2025,Wrong size,378.58
RET-000157,ORD-019167,PROD-0150,05-01-2025,Damaged item,356.58
RET-000158,ORD-019757,PROD-0132,2025-10-30,Damaged item,86.69
RET-000159,ORD-006074,PROD-0028,08-21-2025,Product not as described,388.55
RET-000160,ORD-007242,PROD-0126,2025-10-21,Product not as described,64.06
RET-000161,ORD-014623,PROD-0140,01-21-2026,Product not as described,68.83
RET-000162,ORD-019495,PROD-0139,2025-04-03,Wrong size,194.36
RET-000163,ORD-009785,PROD-0034,01-15-2026,Damaged item,1262.5
RET-000164,ORD-011104,PROD-0024,09-09-2025,Defective product,178.95
RET-000165,ORD-020913,PROD-0131,10-26-2025,Defective product,562.21
RET-000166,ORD-007613,PROD-0180,03-02-2025,Wrong size,1069.11
RET-000167,ORD-019242,PROD-0065,03/04/2025,Late delivery,311.98
RET-000168,ORD-005037,PROD-0067,18/06/2025,Damaged item,906.48
RET-000169,ORD-006359,PROD-0137,11-15-2025,Changed mind,117.81
RET-000170,ORD-016770,PROD-0174,03-31-2025,Product not as described,130.52
RET-000171,ORD-006031,PROD-0034,08-14-2025,Damaged item,439.74
RET-000172,ORD-010122,PROD-0152,04/11/2025,Product not as described,273.59
RET-000173,ORD-023745,PROD-0131,2025-05-21,Defective product,376.89
RET-000174,ORD-023724,PROD-0133,03-10-2025,Defective product,863.06
RET-000175,ORD-012397,PROD-0054,2025-08-29,Product not as described,661.62
RET-000176,ORD-014998,PROD-0021,08-31-2025,Product not as described,372.14
RET-000177,ORD-024113,PROD-0176,08-01-2025,Late delivery,159.75
RET-000178,ORD-020430,PROD-0003,2025-11-18,Wrong size,1804.85
RET-000179,ORD-002385,PROD-0150,01-18-2026,Wrong size,199.54
RET-000180,ORD-012707,PROD-0019,09-01-2025,Wrong size,61.78
RET-000181,ORD-020350,PROD-0005,08-03-2025,Defective product,105.15
RET-000182,ORD-009775,PROD-0053,2026-01-18,Product not as described,16.84
RET-000183,ORD-006893,PROD-0125,2025-03-01,Damaged item,106.82
RET-000184,ORD-012184,PROD-0074,2025-11-29,Changed mind,156.45
RET-000185,ORD-024773,PROD-0092,11-16-2025,Changed mind,538.21
RET-000186,ORD-015308,PROD-0003,18/11/2025,Product not as described,1801.48
RET-000187,ORD-019212,PROD-0019,06-18-2025,Defective product,46.79
RET-000188,ORD-001644,PROD-0001,06-22-2025,Defective product,125.18
RET-000189,ORD-022453,PROD-0132,02-26-2025,Late delivery,221.05
RET-000190,ORD-004803,PROD-0094,2025-04-22,Defective product,577.21
RET-000191,ORD-018369,PROD-0053,10-10-2025,Changed mind,15.1
RET-000192,ORD-024669,PROD-0093,2025-10-28,Damaged item,294.8
RET-000193,ORD-010963,PROD-0101,05-09-2025,Wrong size,480.71
RET-000194,ORD-014661,PROD-0099,2026-01-02,Damaged item,155.13
RET-000195,ORD-004543,PROD-0165,05-25-2025,Damaged item,903.32
RET-000196,ORD-013361,PROD-0176,09-24-2025,Wrong size,154.13
RET-000197,ORD-015023,PROD-0097,21/02/2025,Late delivery,269.66
RET-000198,ORD-001512,PROD-0065,08/04/2025,Damaged item,153.05
RET-000199,ORD-024912,PROD-0012,2025-06-08,Defective product,963.09
RET-000200,ORD-010278,PROD-0091,2025-05-29,Product not as described,279.91
RET-000201,ORD-012459,PROD-0083,17/07/2025,Defective product,401.17
RET-000202,ORD-016337,PROD-0022,22/01/2025,Changed mind,769.51
RET-000203,ORD-003534,PROD-0142,14/07/2025,Late delivery,1305.44
RET-000204,ORD-001989,PROD-0139,09-24-2025,Damaged item,280.53
RET-000205,ORD-011054,PROD-0092,05-12-2025,Product not as described,1421.76
RET-000206,ORD-022051,PROD-0105,16/05/2025,Damaged item,534.91
RET-000207,ORD-009209,PROD-0122,20/02/2025,Defective product,826.66
RET-000208,ORD-014074,PROD-0070,09-29-2025,Wrong size,933.53
RET-000209,ORD-010424,PROD-0121,05-20-2025,Defective product,200.08
RET-000210,ORD-013411,PROD-0029,2026-01-19,Defective product,267.96
RET-000211,ORD-003809,PROD-0164,07-09-2025,Late delivery,924.92
RET-000212,ORD-007351,PROD-0013,23/05/2025,Product not as described,1128.77
RET-000213,ORD-017443,PROD-0124,09/12/2025,Wrong size,779.08
RET-000214,ORD-017586,PROD-0129,09-21-2025,Late delivery,405.27
RET-000215,ORD-010922,PROD-0179,12/11/2025,Late delivery,545.7
RET-000216,ORD-010470,PROD-0152,2025-06-22,Late delivery,339.64
RET-000217,ORD-009844,PROD-0162,2025-03-29,Defective product,404.08
RET-000218,ORD-006307,PROD-0074,04-13-2025,Damaged item,77.5
RET-000219,ORD-005816,PROD-0124,30/09/2025,Product not as described,506.6
RET-000220,ORD-001431,PROD-0008,01-22-2026,Late delivery,584.94
RET-000221,ORD-017659,PROD-0165,06-13-2025,Defective product,406.47
RET-000222,ORD-008541,PROD-0074,28/05/2025,Wrong size,110.03
RET-000223,ORD-015151,PROD-0062,2025-08-02,Late delivery,53.56
RET-000224,ORD-003792,PROD-0149,20/03/2025,Defective product,65.75
RET-000225,ORD-021491,PROD-0156,2025-06-14,Product not as described,329.08
RET-000226,ORD-009311,PROD-0029,10/03/2025,Late delivery,822.64
RET-000227,ORD-016002,PROD-0007,2025-05-26,Wrong size,532.64
RET-000228,ORD-013370,PROD-0172,2026-01-09,Wrong size,436.09
RET-000229,ORD-006061,PROD-0076,2025-08-18,Damaged item,620.96
RET-000230,ORD-022365,PROD-0139,2025-07-09,Damaged item,190.69
RET-000231,ORD-008444,PROD-0042,26/04/2025,Changed mind,75.35
RET-000232,ORD-013934,PROD-0049,07/05/2025,Damaged item,1183.53
RET-000233,ORD-006231,PROD-0134,01-05-2025,Product not as described,11.72
RET-000234,ORD-011978,PROD-0127,02-09-2025,Damaged item,462.68
RET-000235,ORD-016291,PROD-0151,2025-08-06,Product not as described,37.39
RET-000236,ORD-022760,PROD-0131,03/08/2025,Product not as described,385.43
RET-000237,ORD-003579,PROD-0163,10-26-2025,Wrong size,803.53
RET-000238,ORD-024630,PROD-0012,2025-08-16,Wrong size,681.95
RET-000239,ORD-011191,PROD-0088,03-11-2025,Product not as described,602.32
RET-000240,ORD-006713,PROD-0021,02-21-2025,Late delivery,648.96
RET-000241,ORD-021516,PROD-0060,01-10-2026,Changed mind,97.22
RET-000242,ORD-024056,PROD-0053,04-07-2025,Damaged item,17.46
RET-000243,ORD-022467,PROD-0165,06-27-2025,Wrong size,543.8
RET-000244,ORD-023378,PROD-0128,07-08-2025,Damaged item,114.44
RET-000245,ORD-005043,PROD-0132,26/02/2025,Late delivery,98.42
RET-000246,ORD-002430,PROD-0022,2025-06-28,Defective product,203.11
RET-000247,ORD-000211,PROD-0171,03-19-2025,Product not as described,424.5
RET-000248,ORD-014411,PROD-0154,12-15-2025,Wrong size,1470.72
RET-000249,ORD-003273,PROD-0002,02-28-2025,Product not as described,64.27
RET-000250,ORD-001381,PROD-0049,06-30-2025,Changed mind,710.01
RET-000251,ORD-011462,PROD-0148,2025-04-23,Changed mind,45.78
RET-000252,ORD-007865,PROD-0105,14/02/2025,Defective product,496.37
RET-000253,ORD-018058,PROD-0071,2025-12-11,Changed mind,284.96
RET-000254,ORD-015301,PROD-0043,09-18-2025,Wrong size,78.62
RET-000255,ORD-022969,PROD-0158,03-31-2025,Product not as described,215.47
RET-000256,ORD-003293,PROD-0088,20/09/2025,Damaged item,85.81
RET-000257,ORD-009432,PROD-0012,11/08/2025,Damaged item,732.08
RET-000258,ORD-000703,PROD-0109,2025-06-12,Defective product,147.72
RET-000259,ORD-021878,PROD-0057,2025-08-21,Damaged item,329.8
RET-000260,ORD-020706,PROD-0161,2025-05-15,Changed mind,245.59
RET-000261,ORD-008396,PROD-0048,14/04/2025,Defective product,543.32
RET-000262,ORD-017613,PROD-0122,02-16-2025,Changed mind,396.03
RET-000263,ORD-021112,PROD-0052,2025-08-05,Defective product,56.83
RET-000264,ORD-003436,PROD-0177,2025-10-05,Changed mind,410.0
RET-000265,ORD-003528,PROD-0032,09-27-2025,Changed mind,776.72
RET-000266,ORD-022077,PROD-0082,2025-08-12,Changed mind,909.39
RET-000267,ORD-002960,PROD-0150,2025-08-07,Defective product,288.3
RET-000268,ORD-009669,PROD-0071,28/02/2025,Damaged item,275.85
RET-000269,ORD-010936,PROD-0167,05-31-2025,Changed mind,110.63
RET-000270,ORD-015099,PROD-0173,08/08/2025,Product not as described,150.84
RET-000271,ORD-017605,PROD-0032,03-28-2025,Late delivery,269.16
RET-000272,ORD-015964,PROD-0119,2025-11-03,Product not as described,491.11
RET-000273,ORD-013217,PROD-0053,06-27-2025,Damaged item,26.47
RET-000274,ORD-017025,PROD-0039,2025-04-16,Defective product,550.54
RET-000275,ORD-014701,PROD-0155,2025-10-30,Product not as described,327.19
RET-000276,ORD-003122,PROD-0056,15/02/2025,Defective product,288.34
RET-000277,ORD-018989,PROD-0134,05/11/2025,Product not as described,32.6
RET-000278,ORD-008391,PROD-0142,12-31-2025,Wrong size,394.37
RET-000279,ORD-002427,PROD-0104,11/01/2026,Changed mind,358.56
RET-000280,ORD-010140,PROD-0110,12-14-2025,Defective product,156.46
RET-000281,ORD-006633,PROD-0019,07-03-2025,Changed mind,217.5
RET-000282,ORD-000408,PROD-0086,08/01/2026,Late delivery,545.38
RET-000283,ORD-024905,PROD-0108,03-31-2025,Defective product,359.45
RET-000284,ORD-010338,PROD-0173,04/01/2026,Wrong size,225.99
RET-000285,ORD-013457,PROD-0135,2025-11-10,Defective product,414.76
RET-000286,ORD-017533,PROD-0014,2025-07-20,Product not as described,1713.33
RET-000287,ORD-007469,PROD-0038,08-08-2025,Changed mind,389.66
RET-000288,ORD-020423,PROD-0055,2025-06-22,Changed mind,564.51
RET-000289,ORD-017936,PROD-0088,01/05/2025,Product not as described,218.36
RET-000290,ORD-006791,PROD-0146,2026-01-11,Product not as described,174.33
RET-000291,ORD-018445,PROD-0014,2025-10-10,Damaged item,533.88
RET-000292,ORD-013973,PROD-0068,2025-10-06,Defective product,21.57
RET-000293,ORD-009735,PROD-0016,2025-05-10,Damaged item,403.65
RET-000294,ORD-000199,PROD-0034,05-04-2025,Changed mind,890.21
RET-000295,ORD-024745,PROD-0082,31/05/2025,Product not as described,608.19
RET-000296,ORD-016133,PROD-0109,28/09/2025,Changed mind,998.48
RET-000297,ORD-000817,PROD-0120,04-13-2025,Wrong size,51.88
RET-000298,ORD-005780,PROD-0081,27/10/2025,Damaged item,520.15
RET-000299,ORD-007241,PROD-0072,2025-04-08,Damaged item,178.18
RET-000300,ORD-000728,PROD-0001,2025-06-21,Damaged item,12.4
RET-000301,ORD-018800,PROD-0134,05-22-2025,Changed mind,8.17
RET-000302,ORD-009258,PROD-0160,09-10-2025,Defective product,186.2
RET-000303,ORD-010092,PROD-0011,09-02-2025,Defective product,242.59
RET-000304,ORD-020098,PROD-0082,07/03/2025,Changed mind,361.11
RET-000305,ORD-024329,PROD-0019,02-16-2025,Damaged item,34.68
RET-000306,ORD-010379,PROD-0133,11-24-2025,Wrong size,1629.39
RET-000307,ORD-024918,PROD-0073,16/11/2025,Late delivery,656.11
RET-000308,ORD-020368,PROD-0115,05-12-2025,Damaged item,247.03
RET-000309,ORD-006046,PROD-0085,2025-02-28,Damaged item,191.28
RET-000310,ORD-021882,PROD-0080,07-03-2025,Wrong size,437.9
RET-000311,ORD-021920,PROD-0100,2025-02-16,Changed mind,760.6
RET-000312,ORD-018972,PROD-0111,07-21-2025,Defective product,73.36
RET-000313,ORD-021124,PROD-0154,01-24-2025,Defective product,354.21
RET-000314,ORD-012718,PROD-0178,21/04/2025,Product not as described,292.17
RET-000315,ORD-005618,PROD-0139,03-30-2025,Late delivery,110.2
RET-000316,ORD-007491,PROD-0125,2025-05-31,Defective product,221.1
RET-000317,ORD-011149,PROD-0102,02/04/2025,Defective product,253.57
RET-000318,ORD-017536,PROD-0072,01/03/2025,Late delivery,186.04
RET-000319,ORD-013145,PROD-0155,2025-11-27,Late delivery,288.56
RET-000320,ORD-010168,PROD-0025,12-04-2025,Changed mind,410.48
RET-000321,ORD-015969,PROD-0085,2025-05-03,Wrong size,349.46
RET-000322,ORD-013935,PROD-0005,12-30-2025,Product not as described,122.37
RET-000323,ORD-005469,PROD-0159,08/09/2025,Product not as described,285.38
RET-000324,ORD-022293,PROD-0176,2025-10-10,Damaged item,513.48
RET-000325,ORD-012041,PROD-0018,2025-03-22,Late delivery,295.05
RET-000326,ORD-001117,PROD-0142,2025-12-11,Product not as described,141.84
RET-000327,ORD-019037,PROD-0038,05-10-2025,Product not as described,924.7
RET-000328,ORD-018639,PROD-0059,2025-03-03,Defective product,238.67
RET-000329,ORD-006847,PROD-0113,10-19-2025,Changed mind,992.3
RET-000330,ORD-004026,PROD-0084,06/02/2026,Changed mind,178.61
RET-000331,ORD-009091,PROD-0083,03-12-2025,Changed mind,487.27
RET-000332,ORD-017893,PROD-0060,27/04/2025,Product not as described,352.18
RET-000333,ORD-010198,PROD-0038,2025-08-14,Changed mind,164.52
RET-000334,ORD-019259,PROD-0024,21/04/2025,Wrong size,176.5
RET-000335,ORD-019717,PROD-0141,26/02/2025,Changed mind,175.46
RET-000336,ORD-002753,PROD-0052,26/03/2025,Damaged item,69.32
RET-000337,ORD-009063,PROD-0119,08/10/2025,Defective product,1656.39
RET-000338,ORD-005621,PROD-0125,2025-05-04,Damaged item,222.95
RET-000339,ORD-019647,PROD-0037,07-27-2025,Product not as described,518.28
RET-000340,ORD-013798,PROD-0068,2025-05-05,Defective product,63.48
RET-000341,ORD-017870,PROD-0099,26/08/2025,Late delivery,170.04
RET-000342,ORD-004843,PROD-0052,01-20-2026,Product not as described,94.71
RET-000343,ORD-007373,PROD-0093,2025-07-16,Changed mind,499.73
RET-000344,ORD-003253,PROD-0125,2025-08-17,Late delivery,196.94
RET-000345,ORD-021437,PROD-0042,08-28-2025,Changed mind,21.42
RET-000346,ORD-007352,PROD-0097,08/07/2025,Changed mind,134.02
RET-000347,ORD-019720,PROD-0093,2026-01-18,Late delivery,272.45
RET-000348,ORD-019447,PROD-0048,24/12/2025,Damaged item,529.88
RET-000349,ORD-004220,PROD-0027,2025-10-07,Changed mind,21.5
RET-000350,ORD-019040,PROD-0083,12-17-2025,Product not as described,498.42
RET-000351,ORD-001344,PROD-0164,01/12/2025,Wrong size,162.58
RET-000352,ORD-009956,PROD-0106,09-30-2025,Product not as described,294.15
RET-000353,ORD-008723,PROD-0035,24/12/2025,Product not as described,1545.84
RET-000354,ORD-001929,PROD-0111,2025-06-09,Product not as described,241.71
RET-000355,ORD-020197,PROD-0161,08-28-2025,Changed mind,76.76
RET-000356,ORD-014830,PROD-0073,2025-07-16,Defective product,508.73
RET-000357,ORD-023460,PROD-0113,14/01/2026,Late delivery,971.82
RET-000358,ORD-003659,PROD-0080,12/12/2025,Damaged item,237.09
RET-000359,ORD-017734,PROD-0083,27/04/2025,Defective product,522.51
RET-000360,ORD-010969,PROD-0003,2025-04-17,Late delivery,427.71
RET-000361,ORD-017809,PROD-0124,01-31-2025,Product not as described,524.26
RET-000362,ORD-003086,PROD-0101,10/08/2025,Late delivery,247.71
RET-000363,ORD-001057,PROD-0095,10/02/2025,Defective product,805.02
RET-000364,ORD-011712,PROD-0177,2025-10-02,Wrong size,478.01
RET-000365,ORD-022585,PROD-0127,08-18-2025,Changed mind,1405.1
RET-000366,ORD-024996,PROD-0086,06-14-2025,Changed mind,457.99
RET-000367,ORD-017421,PROD-0137,11-13-2025,Defective product,188.69
RET-000368,ORD-007605,PROD-0175,2025-03-13,Product not as described,291.43
RET-000369,ORD-018429,PROD-0127,2025-07-26,Damaged item,650.25
RET-000370,ORD-018557,PROD-0007,2025-09-22,Wrong size,54.9
RET-000371,ORD-021657,PROD-0045,2025-02-08,Defective product,169.06
RET-000372,ORD-004386,PROD-0027,31/01/2025,Late delivery,75.66
RET-000373,ORD-001340,PROD-0165,2026-01-16,Changed mind,999.3
RET-000374,ORD-011713,PROD-0057,07-18-2025,Damaged item,961.68
RET-000375,ORD-002981,PROD-0038,2025-10-23,Late delivery,842.28
RET-000376,ORD-019881,PROD-0158,2025-06-28,Wrong size,209.66
RET-000377,ORD-021072,PROD-0148,11/06/2025,Damaged item,47.64
